id_contrato,id_cliente,data_referencia,inadimplente_30d,n_parcelas,valor_parcela,renda_declarada_tratada,canal_venda,tenure_dias,comprometimento_renda,qtd_contratos_parcelados,qtd_compras,ticket_medio_compras,qtd_compra_informatica,qtd_compra_moveis,qtd_compra_eletro,qtd_compra_cama_mesa_banho,dias_desde_ultima_compra,qtd_parcelas_vencidas,qtd_parcelas_pagas,qtd_parcelas_pendentes,qtd_atrasos_positivos,qtd_atrasos_pagos,payment_late_rate,payment_mean_delay,payment_max_delay,payment_sum_delay,payment_mean_delay_paid,payment_max_delay_paid,qtd_sac_telefone,qtd_sac_whatsapp,qtd_sac_loja,qtd_sac_site,score_bureau,tem_consulta_bureau,dias_desde_consulta_bureau
C00001,CLI00533,2026-01-22,0,10,101.5,6104.01,Loja física,263,0.016628413125142325,2,6,799.7866666666667,0,3,2,1,51.0,8,8,0,4,4,0.5,5.75,23,46,11.5,23.0,0,1,0,0,600,1,263
C00003,CLI00116,2026-02-02,0,12,207.86,3944.55,Site,323,0.05269549124741733,1,0,,0,0,0,0,,10,10,0,2,2,0.2,0.3,2,3,1.5,2.0,0,0,1,0,878,1,326
C00004,CLI00930,2025-09-05,1,10,151.67,1492.09,Loja física,293,0.10164936431448506,1,2,588.21,1,0,0,1,150.0,9,9,0,5,5,0.5555555555555556,6.222222222222222,21,56,11.2,21.0,0,0,0,0,689,1,296
C00005,CLI02675,2025-09-03,1,12,779.16,2230.13,Site,353,0.3493787357687668,2,5,607.45,1,0,2,2,12.0,11,11,0,5,5,0.45454545454545453,3.8181818181818183,15,42,8.4,15.0,0,0,1,0,594,1,355
C00007,CLI00506,2026-01-29,1,12,164.53,1861.14,Loja física,263,0.08840280688180362,2,4,532.9975,1,1,1,1,68.0,8,8,0,2,2,0.25,3.0,23,24,12.0,23.0,0,0,0,0,518,1,265
C00008,CLI02207,2026-01-10,0,18,189.31,3337.85,Loja física,413,0.056716149617268605,2,0,,0,0,0,0,,13,12,1,4,3,0.3076923076923077,3.5384615384615383,23,46,7.666666666666667,21.0,0,0,0,0,714,1,414
C00009,CLI01444,2025-08-02,1,6,338.82,2976.42,Televendas,173,0.11383474106476908,4,2,703.865,1,0,1,0,363.0,5,5,0,4,4,0.8,4.8,12,24,6.0,12.0,1,0,0,0,633,1,176
C00010,CLI01892,2025-06-06,0,12,110.31,1996.69,Loja física,353,0.05524643284636073,3,2,700.565,1,1,0,0,316.0,11,11,0,4,4,0.36363636363636365,0.5454545454545454,2,6,1.5,2.0,0,0,0,0,730,1,356
C00012,CLI00993,2025-07-14,0,10,146.67,3817.89,Loja física,293,0.03841650754736255,2,0,,0,0,0,0,,9,9,0,5,5,0.5555555555555556,5.111111111111111,15,46,9.2,15.0,0,0,0,0,824,1,296
C00013,CLI01305,2026-01-23,1,18,202.92,3919.16,Loja física,473,0.05177640106553445,1,3,367.74333333333334,1,0,1,1,201.0,15,15,0,14,14,0.9333333333333333,12.733333333333333,23,191,13.642857142857142,23.0,0,0,1,0,450,1,475
C00014,CLI01984,2026-01-10,1,18,89.24,4675.92,Loja física,203,0.0190850142859587,3,6,1367.9400000000003,1,3,0,2,134.0,6,6,0,2,2,0.3333333333333333,2.0,10,12,6.0,10.0,0,0,0,0,844,1,203
C00015,CLI01701,2026-01-23,0,18,108.63,1973.2,Loja física,83,0.05505270626393675,2,2,535.02,0,0,2,0,302.0,2,2,0,1,1,0.5,0.5,1,1,1.0,1.0,0,0,0,0,636,1,84
C00016,CLI00715,2026-01-30,1,18,113.3,2095.82,Loja física,503,0.05405998606750579,3,5,301.91400000000004,0,2,2,1,216.0,16,16,0,3,3,0.1875,0.8125,11,13,4.333333333333333,11.0,0,0,0,1,706,1,505
C00017,CLI00827,2026-01-16,1,12,254.29,4632.83,Loja física,113,0.05488869654185455,2,2,1026.25,0,0,0,2,643.0,3,3,0,3,3,1.0,22.333333333333332,26,67,22.333333333333332,26.0,0,0,0,0,529,1,115
C00018,CLI02112,2026-01-29,1,10,439.33,1414.77,Loja física,83,0.310531040381122,1,1,933.33,1,0,0,0,209.0,2,1,1,2,1,1.0,17.5,23,35,12.0,12.0,1,0,0,0,521,1,85
C00019,CLI02101,2026-01-31,1,10,86.39,3108.39,Loja física,143,0.027792522817278398,3,5,573.51,0,2,1,2,213.0,4,4,0,3,3,0.75,5.75,20,23,7.666666666666667,20.0,0,0,0,0,754,1,145
C00020,CLI01145,2026-01-18,0,6,290.9,2283.33,Loja física,143,0.12740164584181873,1,3,684.1733333333333,1,1,1,0,251.0,4,4,0,0,0,0.0,0.0,0,0,,,0,1,0,0,683,1,145
C00021,CLI01278,2025-11-24,1,6,611.73,9243.37,Televendas,173,0.06618040822773512,1,1,2270.15,0,1,0,0,709.0,5,5,0,2,2,0.4,4.0,19,20,10.0,19.0,0,0,2,0,628,1,174
C00022,CLI01227,2026-02-03,0,24,146.09,2112.06,Loja física,503,0.0691694364743426,1,1,261.64,0,1,0,0,297.0,16,16,0,7,7,0.4375,3.75,25,60,8.571428571428571,25.0,0,0,1,0,579,1,505
